datereceived,product,banks,community
"01/17/2012","Mortgage","Other","Hispanic"
"01/23/2013","Mortgage","Bank of America","Hispanic"
"05/20/2013","Mortgage","Wells Fargo","Hispanic"
"04/16/2013","Mortgage","Bank of America","Hispanic"
"10/12/2013","Student loan","Other","Hispanic"
"06/20/2013","Mortgage","Wells Fargo","Hispanic"
"08/14/2013","Bank account or service","TD Bank","Hispanic"
"09/27/2013","Consumer loan","Wells Fargo","Hispanic"
"09/19/2013","Mortgage","Green Tree Servicing, LLC","Asian"
"05/14/2012","Mortgage","Bank of America","Asian"
"11/02/2012","Mortgage","Wells Fargo","Asian"
"09/12/2012","Mortgage","Other","Asian"
"03/19/2012","Mortgage","Bank of America","Asian"
"11/28/2012","Credit reporting","Experian","Asian"
"08/03/2013","Mortgage","Wells Fargo","Asian"
"03/27/2013","Bank account or service","Other","Asian"
"03/15/2013","Bank account or service","Bank of America","Asian"
"09/11/2013","Bank account or service","Other","Asian"
"04/09/2012","Credit card","Capital One","Asian"
"02/21/2012","Credit card","Capital One","Asian"
"02/21/2012","Credit card","Capital One","Asian"
"01/09/2012","Credit card","Other","Asian"
"03/27/2013","Mortgage","Wells Fargo","White"
"08/27/2013","Mortgage","Bank of America","Hispanic"
"02/23/2012","Credit card","JPMorgan Chase","Hispanic"
"02/05/2013","Credit card","Amex","Hispanic"
"09/18/2012","Mortgage","Ocwen","Hispanic"
"05/03/2013","Mortgage","Ocwen","Hispanic"
"01/30/2013","Mortgage","Bank of America","Hispanic"
"07/14/2012","Consumer loan","HSBC","Hispanic"
"08/21/2012","Mortgage","Nationstar Mortgage","Hispanic"
"01/14/2013","Mortgage","HSBC","Hispanic"
"12/19/2012","Mortgage","Nationstar Mortgage","Hispanic"
"02/13/2013","Mortgage","Citibank","Hispanic"
"05/09/2012","Bank account or service","Bank of America","Hispanic"
"09/24/2012","Bank account or service","Wells Fargo","Hispanic"
"05/10/2012","Mortgage","Bank of America","Hispanic"
"02/01/2013","Mortgage","Bank of America","Hispanic"
"10/04/2012","Mortgage","Bank of America","Hispanic"
"07/29/2013","Mortgage","Bank of America","Hispanic"
"01/14/2013","Mortgage","Wells Fargo","Hispanic"
"05/16/2013","Mortgage","Bank of America","Hispanic"
"08/02/2013","Mortgage","Nationstar Mortgage","Hispanic"
"09/17/2013","Bank account or service","Bank of America","Hispanic"
"03/07/2013","Mortgage","Bank of America","Hispanic"
"07/03/2013","Mortgage","Ocwen","Hispanic"
"08/21/2013","Mortgage","Bank of America","Hispanic"
"02/19/2013","Bank account or service","Bank of America","Hispanic"
"08/09/2013","Mortgage","Bank of America","Hispanic"
"06/03/2013","Consumer loan","Capital One","Hispanic"
"03/13/2012","Mortgage","Bank of America","Hispanic"
"08/20/2012","Mortgage","Green Tree Servicing, LLC","Hispanic"
"07/06/2012","Mortgage","Bank of America","Hispanic"
"06/08/2012","Mortgage","Wells Fargo","Hispanic"
"03/04/2013","Mortgage","Ocwen","Hispanic"
"11/10/2013","Mortgage","Bank of America","Hispanic"
"06/06/2012","Mortgage","Other","Hispanic"
"09/11/2013","Mortgage","Other","Hispanic"
"11/12/2013","Mortgage","Capital One","Hispanic"
"07/01/2013","Bank account or service","Wells Fargo","Hispanic"
"07/09/2012","Mortgage","Bank of America","Hispanic"
"08/27/2012","Mortgage","Ocwen","Hispanic"
"05/29/2013","Mortgage","Citibank","Hispanic"
"06/06/2013","Bank account or service","Bank of America","Hispanic"
"02/03/2012","Mortgage","Wells Fargo","Hispanic"
"10/29/2013","Mortgage","Bank of America","Hispanic"
"06/25/2012","Consumer loan","Wells Fargo","Hispanic"
"01/31/2013","Mortgage","Bank of America","Hispanic"
"02/07/2013","Mortgage","Nationstar Mortgage","Hispanic"
"04/11/2013","Mortgage","Bank of America","Hispanic"
"01/24/2013","Mortgage","Ocwen","Hispanic"
"07/04/2013","Credit card","Citibank","Hispanic"
"05/29/2013","Mortgage","Bank of America","Hispanic"
"02/07/2012","Mortgage","Ocwen","Hispanic"
"12/03/2012","Credit card","Capital One","Hispanic"
"08/22/2013","Mortgage","Green Tree Servicing, LLC","Hispanic"
"02/05/2013","Mortgage","Bank of America","Hispanic"
"04/10/2013","Credit card","Capital One","Hispanic"
"10/31/2012","Mortgage","Bank of America","Hispanic"
"07/29/2013","Mortgage","Ocwen","Hispanic"
"04/24/2013","Mortgage","Wells Fargo","Hispanic"
"05/08/2013","Mortgage","Wells Fargo","Hispanic"
"09/17/2013","Mortgage","Other","Hispanic"
"08/25/2012","Bank account or service","JPMorgan Chase","Hispanic"
"01/15/2013","Mortgage","Nationstar Mortgage","Hispanic"
"02/08/2012","Credit card","Other","Hispanic"
"10/10/2012","Credit card","Amex","Hispanic"
"05/07/2013","Mortgage","Bank of America","Hispanic"
"05/30/2012","Mortgage","Citibank","Hispanic"
"11/13/2013","Mortgage","Bank of America","Hispanic"
"02/25/2013","Mortgage","Ocwen","Hispanic"
"05/10/2012","Mortgage","HSBC","Hispanic"
"11/06/2013","Mortgage","Other","Hispanic"
"10/26/2012","Mortgage","Bank of America","Hispanic"
"11/13/2013","Mortgage","Nationstar Mortgage","Hispanic"
"09/10/2013","Mortgage","Nationstar Mortgage","Hispanic"
"08/30/2012","Mortgage","Citibank","Hispanic"
"12/11/2012","Credit reporting","TransUnion","Hispanic"
"04/09/2012","Student loan","Other","Hispanic"
"02/24/2012","Mortgage","Ocwen","Hispanic"
"12/11/2012","Credit reporting","Experian","Hispanic"
"09/17/2013","Credit reporting","TransUnion","Hispanic"
"11/09/2012","Mortgage","Ocwen","Hispanic"
"06/28/2013","Mortgage","Wells Fargo","Hispanic"
"05/13/2013","Bank account or service","Bank of America","Hispanic"
"10/10/2013","Mortgage","JPMorgan Chase","Hispanic"
"02/24/2013","Mortgage","Ocwen","Hispanic"
"10/30/2013","Credit card","Citibank","Hispanic"
"11/01/2012","Mortgage","Bank of America","Hispanic"
"05/17/2012","Mortgage","Bank of America","Hispanic"
"09/17/2013","Credit reporting","Equifax","Hispanic"
"06/14/2012","Student loan","Sallie Mae","Hispanic"
"01/13/2013","Mortgage","Citibank","Hispanic"
"09/13/2013","Mortgage","Green Tree Servicing, LLC","Hispanic"
"04/30/2013","Mortgage","Bank of America","Hispanic"
"12/11/2012","Credit reporting","Equifax","Hispanic"
"05/13/2013","Bank account or service","Bank of America","Hispanic"
"06/25/2013","Mortgage","Bank of America","Hispanic"
"02/05/2013","Credit card","Bank of America","Hispanic"
"11/14/2013","Mortgage","Wells Fargo","Hispanic"
"08/03/2012","Mortgage","Bank of America","Hispanic"
"07/26/2013","Mortgage","Bank of America","Hispanic"
"12/12/2011","Mortgage","Other","Hispanic"
"03/14/2013","Student loan","Sallie Mae","Hispanic"
"07/25/2013","Mortgage","Wells Fargo","Hispanic"
"09/26/2013","Credit reporting","Experian","Hispanic"
"04/20/2012","Bank account or service","Bank of America","Hispanic"
"08/12/2013","Mortgage","Wells Fargo","Hispanic"
"05/28/2013","Bank account or service","Wells Fargo","Hispanic"
"05/03/2012","Mortgage","Bank of America","Hispanic"
"03/06/2013","Credit card","JPMorgan Chase","Hispanic"
"06/01/2013","Money transfers","Other","Hispanic"
"12/11/2012","Mortgage","Other","Hispanic"
"05/24/2012","Mortgage","HSBC","Hispanic"
"02/18/2013","Mortgage","Bank of America","Hispanic"
"01/23/2013","Credit card","Capital One","Hispanic"
"01/18/2013","Mortgage","Wells Fargo","Hispanic"
"01/29/2013","Mortgage","Bank of America","Hispanic"
"09/24/2012","Mortgage","SunTrust Bank","Hispanic"
"02/06/2013","Mortgage","Bank of America","Hispanic"
"10/10/2013","Mortgage","Nationstar Mortgage","Hispanic"
"09/11/2013","Credit reporting","Experian","Hispanic"
"08/30/2012","Credit card","Capital One","Hispanic"
"10/28/2013","Mortgage","Other","Hispanic"
"08/09/2013","Mortgage","Other","Hispanic"
"10/22/2012","Mortgage","OneWest Bank","Asian"
"05/04/2012","Student loan","Sallie Mae","Asian"
"03/27/2012","Mortgage","Bank of America","Asian"
"07/23/2012","Mortgage","Ocwen","Asian"
"10/05/2012","Bank account or service","Wells Fargo","Asian"
"05/25/2012","Mortgage","Bank of America","Asian"
"09/01/2013","Mortgage","Nationstar Mortgage","Asian"
"03/04/2013","Student loan","Sallie Mae","Asian"
"01/30/2013","Mortgage","Bank of America","Asian"
"05/09/2013","Mortgage","Wells Fargo","Asian"
"05/17/2012","Mortgage","OneWest Bank","Asian"
"10/31/2012","Mortgage","Green Tree Servicing, LLC","Asian"
"11/25/2013","Bank account or service","Wells Fargo","Asian"
"03/06/2013","Bank account or service","Wells Fargo","Asian"
"06/04/2013","Bank account or service","Capital One","Asian"
"07/23/2012","Mortgage","Bank of America","Asian"
"02/06/2013","Mortgage","Green Tree Servicing, LLC","Asian"
"04/21/2013","Credit card","Wells Fargo","Asian"
"07/09/2012","Mortgage","Citibank","Asian"
"02/07/2013","Credit reporting","Wells Fargo","Asian"
"09/21/2012","Consumer loan","Other","Asian"
"03/30/2012","Mortgage","Citibank","Asian"
"03/05/2012","Mortgage","Ocwen","Asian"
"11/15/2012","Mortgage","Bank of America","Asian"
"12/05/2011","Credit card","Capital One","Asian"
"12/14/2011","Mortgage","Citibank","Asian"
"12/06/2012","Mortgage","Other","Asian"
"11/07/2012","Mortgage","Bank of America","Asian"
"09/21/2012","Mortgage","Select Portfolio Servicing, Inc","Asian"
"03/06/2012","Mortgage","Other","Asian"
"05/01/2012","Mortgage","Other","Asian"
"05/21/2012","Mortgage","JPMorgan Chase","Asian"
"05/14/2012","Mortgage","Bank of America","Asian"
"10/16/2013","Credit reporting","TransUnion","Asian"
"06/05/2012","Mortgage","Bank of America","Asian"
"03/29/2012","Bank account or service","Bank of America","Asian"
"12/12/2011","Mortgage","Bank of America","Asian"
"07/18/2012","Mortgage","Wells Fargo","Asian"
"09/09/2013","Mortgage","Wells Fargo","Asian"
"03/29/2012","Student loan","Sallie Mae","Asian"
"10/15/2013","Credit reporting","Experian","Asian"
"07/17/2012","Mortgage","Citibank","Asian"
"10/04/2013","Credit card","Citibank","Asian"
"05/01/2013","Mortgage","Other","Hispanic"
"01/23/2013","Mortgage","Wells Fargo","Hispanic"
"06/05/2012","Mortgage","Other","Hispanic"
"05/13/2013","Credit card","Capital One","Hispanic"
"10/15/2012","Bank account or service","JPMorgan Chase","Hispanic"
"01/08/2013","Mortgage","Ocwen","Hispanic"
"04/02/2013","Mortgage","Nationstar Mortgage","Hispanic"
"02/04/2013","Mortgage","Bank of America","Hispanic"
"04/16/2013","Mortgage","Other","Hispanic"
"09/27/2013","Mortgage","Green Tree Servicing, LLC","Hispanic"
"12/12/2011","Credit card","Discover","Hispanic"
"06/15/2012","Mortgage","Ocwen","Hispanic"
"08/09/2013","Mortgage","Other","Hispanic"
"06/06/2013","Mortgage","Wells Fargo","Hispanic"
"07/06/2012","Bank account or service","Bank of America","Hispanic"
"12/19/2012","Mortgage","Bank of America","Hispanic"
"01/08/2013","Mortgage","Other","Hispanic"
"05/30/2012","Mortgage","Nationstar Mortgage","Hispanic"
"10/22/2012","Mortgage","SunTrust Bank","Hispanic"
"05/22/2013","Mortgage","Bank of America","Hispanic"
"08/22/2013","Bank account or service","Other","Hispanic"
"02/01/2012","Mortgage","Nationstar Mortgage","Hispanic"
"03/06/2012","Credit card","JPMorgan Chase","Hispanic"
"06/01/2012","Mortgage","JPMorgan Chase","Hispanic"
"10/29/2013","Credit card","Discover","Hispanic"
"06/24/2013","Mortgage","Bank of America","Hispanic"
"04/18/2013","Mortgage","Other","Hispanic"
"06/16/2013","Mortgage","Bank of America","Hispanic"
"08/09/2013","Mortgage","Other","Hispanic"
"05/25/2012","Mortgage","JPMorgan Chase","Hispanic"
"05/16/2013","Mortgage","Ocwen","Hispanic"
"10/17/2012","Bank account or service","JPMorgan Chase","Hispanic"
"03/14/2013","Credit card","Bank of America","Hispanic"
"08/07/2012","Mortgage","Bank of America","Hispanic"
"05/13/2013","Credit card","Capital One","Hispanic"
"11/30/2012","Mortgage","JPMorgan Chase","Hispanic"
"10/09/2013","Credit card","Capital One","Hispanic"
"07/07/2013","Credit card","GE Capital Retail","Hispanic"
"07/18/2013","Money transfers","JPMorgan Chase","Hispanic"
"06/23/2013","Credit card","GE Capital Retail","Hispanic"
"10/23/2012","Mortgage","Bank of America","Hispanic"
"10/11/2013","Mortgage","Nationstar Mortgage","Hispanic"
"03/30/2012","Student loan","Sallie Mae","Hispanic"
"09/10/2013","Bank account or service","Bank of America","Hispanic"
"10/09/2012","Mortgage","Other","Hispanic"
"07/16/2013","Credit card","GE Capital Retail","Hispanic"
"07/07/2013","Credit card","GE Capital Retail","Hispanic"
"10/18/2012","Mortgage","Ocwen","Hispanic"
"07/07/2013","Credit card","Capital One","Hispanic"
"04/04/2012","Mortgage","Select Portfolio Servicing, Inc","Hispanic"
"05/24/2012","Mortgage","Bank of America","Hispanic"
"08/02/2012","Mortgage","Ocwen","Hispanic"
"09/06/2012","Mortgage","OneWest Bank","Hispanic"
"08/12/2013","Credit reporting","Experian","Hispanic"
"11/29/2012","Mortgage","Other","Hispanic"
"05/13/2013","Bank account or service","Other","Hispanic"
"01/18/2013","Mortgage","Bank of America","Hispanic"
"09/26/2012","Bank account or service","Wells Fargo","Hispanic"
"04/16/2013","Mortgage","Other","Hispanic"
"08/22/2013","Mortgage","Bank of America","Hispanic"
"09/13/2012","Mortgage","Bank of America","Hispanic"
"08/22/2012","Mortgage","Ocwen","Hispanic"
"07/07/2013","Credit card","Capital One","Hispanic"
"04/02/2013","Mortgage","Bank of America","Hispanic"
"02/07/2012","Mortgage","JPMorgan Chase","Hispanic"
"05/10/2012","Mortgage","Bank of America","Hispanic"
"01/24/2013","Bank account or service","JPMorgan Chase","Hispanic"
"08/23/2013","Bank account or service","JPMorgan Chase","Hispanic"
"12/05/2011","Credit card","Capital One","Hispanic"
"04/04/2013","Mortgage","Ocwen","Hispanic"
"01/15/2013","Mortgage","Bank of America","Hispanic"
"05/02/2012","Mortgage","Bank of America","Hispanic"
"07/19/2013","Bank account or service","Wells Fargo","Asian"
"06/22/2012","Credit card","JPMorgan Chase","Asian"
"01/07/2013","Credit reporting","Experian","Asian"
"02/05/2013","Mortgage","Bank of America","Asian"
"05/09/2013","Mortgage","Bank of America","Asian"
"04/25/2012","Mortgage","Bank of America","Asian"
"09/25/2012","Credit card","Citibank","Asian"
"03/12/2013","Mortgage","JPMorgan Chase","Asian"
"07/12/2012","Bank account or service","Wells Fargo","Asian"
"05/19/2012","Mortgage","Wells Fargo","Asian"
"02/22/2012","Mortgage","Bank of America","Asian"
"05/06/2013","Mortgage","Bank of America","Asian"
"01/20/2012","Mortgage","Other","Asian"
"07/19/2012","Mortgage","Green Tree Servicing, LLC","Asian"
"05/12/2013","Credit card","Bank of America","Asian"
"11/26/2012","Mortgage","Select Portfolio Servicing, Inc","Asian"
"01/26/2013","Credit card","JPMorgan Chase","Asian"
"01/30/2013","Mortgage","Bank of America","Asian"
"05/15/2012","Credit card","U.S. Bancorp","Asian"
"08/09/2012","Mortgage","JPMorgan Chase","White"
"06/11/2013","Mortgage","Bank of America","White"
"06/11/2013","Mortgage","Bank of America","White"
"12/10/2012","Bank account or service","U.S. Bancorp","White"
"09/13/2013","Bank account or service","Other","White"
"10/09/2012","Mortgage","Ocwen","White"
"04/12/2012","Mortgage","Bank of America","White"
"09/17/2012","Mortgage","Bank of America","White"
"07/14/2012","Mortgage","Ocwen","White"
"03/14/2013","Credit card","Bank of America","White"
"07/17/2012","Mortgage","JPMorgan Chase","White"
"12/29/2011","Mortgage","Citibank","White"
"07/30/2013","Mortgage","Other","White"
"09/27/2012","Mortgage","Bank of America","White"
"03/27/2013","Credit reporting","Equifax","White"
"05/18/2013","Credit reporting","Experian","White"
"02/21/2013","Credit reporting","Equifax","White"
"08/14/2012","Mortgage","Bank of America","Mixed"
"02/19/2013","Credit reporting","Other","Mixed"
"01/14/2013","Mortgage","Bank of America","Mixed"
"06/20/2012","Mortgage","Wells Fargo","Mixed"
"01/30/2013","Mortgage","Wells Fargo","Mixed"
"10/29/2012","Mortgage","Bank of America","Mixed"
"04/23/2013","Bank account or service","JPMorgan Chase","Mixed"
"03/26/2012","Mortgage","Bank of America","Mixed"
"12/19/2011","Mortgage","Wells Fargo","Mixed"
"04/06/2012","Mortgage","Bank of America","Mixed"
"07/03/2013","Mortgage","HSBC","Mixed"
"01/11/2012","Credit card","GE Capital Retail","Mixed"
"08/21/2013","Credit card","Capital One","Mixed"
"11/30/2012","Credit card","Discover","Mixed"
"11/05/2013","Mortgage","Bank of America","Asian"
"03/21/2013","Mortgage","Citibank","Asian"
"04/16/2013","Bank account or service","Wells Fargo","Asian"
"02/12/2013","Mortgage","Other","Asian"
"06/19/2013","Credit card","Citibank","Asian"
"02/04/2013","Mortgage","Bank of America","Asian"
"09/10/2012","Credit card","Amex","Asian"
"10/01/2013","Mortgage","Citibank","Asian"
"03/07/2012","Mortgage","Bank of America","Asian"
"03/15/2013","Bank account or service","JPMorgan Chase","Asian"
"07/15/2013","Consumer loan","Other","Asian"
"07/16/2013","Credit reporting","Experian","Asian"
"08/08/2013","Credit reporting","Equifax","Asian"
"08/08/2013","Credit reporting","Experian","Asian"
"08/08/2013","Credit reporting","TransUnion","Asian"
"08/08/2013","Credit reporting","TransUnion","Asian"
"03/19/2012","Mortgage","Bank of America","Asian"
"01/17/2012","Mortgage","Wells Fargo","Asian"
"04/03/2012","Mortgage","Bank of America","Asian"
"03/07/2012","Student loan","Sallie Mae","Asian"
"02/21/2012","Mortgage","Bank of America","Asian"
"09/21/2012","Credit card","Amex","Asian"
"01/09/2013","Bank account or service","Wells Fargo","Asian"
"01/10/2013","Bank account or service","Wells Fargo","Asian"
"02/17/2012","Mortgage","Bank of America","Asian"
"10/08/2013","Bank account or service","Wells Fargo","Asian"
"05/02/2012","Mortgage","Wells Fargo","Asian"
"06/12/2012","Mortgage","Bank of America","Asian"
"08/08/2013","Credit reporting","Equifax","Asian"
"01/23/2012","Mortgage","Bank of America","Asian"
"09/17/2013","Mortgage","Other","Asian"
"06/13/2012","Bank account or service","Other","Asian"
"09/19/2013","Credit card","Capital One","Asian"
"06/01/2012","Credit card","Capital One","Asian"
"09/09/2013","Credit card","Citibank","White"
"07/15/2013","Mortgage","Wells Fargo","White"
"06/19/2012","Mortgage","HSBC","White"
"02/20/2012","Mortgage","JPMorgan Chase","White"
"02/12/2013","Credit reporting","Experian","White"
"07/13/2012","Student loan","Bank of America","White"
"02/20/2013","Bank account or service","Bank of America","White"
"10/29/2012","Credit card","Bank of America","White"
"11/05/2012","Mortgage","Bank of America","White"
"02/04/2013","Mortgage","Bank of America","White"
"04/24/2012","Mortgage","Other","White"
"02/06/2013","Mortgage","Wells Fargo","White"
"06/18/2012","Mortgage","Ocwen","White"
"03/06/2013","Mortgage","Wells Fargo","White"
"09/23/2012","Mortgage","Ocwen","White"
"11/06/2012","Mortgage","Bank of America","White"
"06/03/2013","Mortgage","SunTrust Bank","White"
"02/04/2013","Mortgage","Bank of America","White"
"08/01/2012","Mortgage","JPMorgan Chase","White"
"09/24/2013","Mortgage","Wells Fargo","White"
"02/14/2013","Mortgage","Bank of America","White"
"11/05/2012","Credit card","Other","White"
"02/08/2012","Mortgage","Bank of America","White"
"03/09/2012","Mortgage","Other","White"
"08/23/2012","Credit card","Capital One","White"
"09/18/2013","Credit card","Sovereign Bank","White"
"11/17/2012","Credit reporting","Experian","White"
"04/15/2012","Bank account or service","Bank of America","White"
"03/05/2012","Mortgage","Other","White"
"03/18/2013","Consumer loan","Other","White"
"07/17/2012","Mortgage","Bank of America","White"
"01/16/2013","Credit reporting","Other","White"
"07/25/2013","Mortgage","Citibank","White"
"01/09/2013","Credit reporting","Equifax","White"
"12/20/2011","Mortgage","Bank of America","White"
"09/11/2013","Credit reporting","Experian","White"
"08/30/2012","Mortgage","Wells Fargo","White"
"04/08/2013","Mortgage","Nationstar Mortgage","White"
"01/04/2012","Credit card","Capital One","White"
"01/16/2013","Credit reporting","TransUnion","White"
"08/05/2013","Mortgage","Ocwen","White"
"12/11/2011","Mortgage","JPMorgan Chase","White"
"11/09/2012","Credit reporting","Experian","White"
"01/16/2013","Credit reporting","Experian","White"
"06/22/2012","Mortgage","Bank of America","White"
"05/13/2013","Mortgage","Ocwen","White"
"10/22/2013","Mortgage","Bank of America","White"
"05/22/2012","Mortgage","Bank of America","White"
"07/08/2013","Mortgage","Bank of America","White"
"07/30/2013","Credit card","Citibank","White"
"07/03/2013","Mortgage","Bank of America","White"
"03/05/2013","Student loan","Sallie Mae","White"
"11/06/2012","Mortgage","Bank of America","White"
"09/12/2012","Mortgage","Wells Fargo","White"
"08/01/2013","Bank account or service","Other","White"
"09/06/2013","Bank account or service","Wells Fargo","White"
"07/26/2012","Mortgage","Discover","Asian"
"05/18/2012","Credit card","Wells Fargo","Asian"
"12/20/2012","Credit reporting","Experian","Asian"
"10/22/2012","Credit reporting","Experian","Asian"
"10/24/2013","Bank account or service","Other","Asian"
"12/20/2012","Credit reporting","Equifax","Asian"
"11/27/2012","Mortgage","JPMorgan Chase","Asian"
"09/23/2013","Mortgage","Ocwen","Asian"
"06/05/2013","Mortgage","Nationstar Mortgage","Asian"
"06/04/2012","Bank account or service","Bank of America","Asian"
"05/01/2013","Mortgage","Nationstar Mortgage","Asian"
"10/29/2012","Mortgage","Bank of America","Asian"
"06/29/2012","Mortgage","Other","Asian"
"06/04/2012","Credit card","Bank of America","Asian"
"03/25/2012","Credit card","Capital One","Asian"
"04/09/2013","Mortgage","Bank of America","Asian"
"11/26/2012","Credit card","Discover","Asian"
"05/06/2013","Mortgage","Ocwen","Asian"
"12/20/2012","Credit reporting","TransUnion","Asian"
"07/30/2013","Credit card","Bank of America","Asian"
"02/13/2013","Bank account or service","Citibank","Asian"
"11/13/2012","Mortgage","Bank of America","Asian"
"04/29/2013","Bank account or service","JPMorgan Chase","Asian"
"10/24/2013","Mortgage","Bank of America","Asian"
"11/01/2012","Bank account or service","Bank of America","Asian"
"01/16/2012","Mortgage","JPMorgan Chase","Asian"
"12/31/2012","Credit card","Citibank","Asian"
"03/02/2012","Credit card","Discover","Asian"
"12/28/2012","Mortgage","Bank of America","Asian"
"06/10/2013","Mortgage","Nationstar Mortgage","Asian"
"01/27/2013","Mortgage","Nationstar Mortgage","Asian"
"10/17/2012","Mortgage","Ocwen","Asian"
"08/19/2013","Mortgage","Nationstar Mortgage","Hispanic"
"09/06/2012","Credit card","Wells Fargo","Hispanic"
"07/05/2012","Credit card","JPMorgan Chase","Hispanic"
"06/14/2013","Bank account or service","Bank of America","Hispanic"
"05/03/2012","Credit card","Citibank","Hispanic"
"02/03/2012","Mortgage","Wells Fargo","Hispanic"
"06/13/2012","Mortgage","Other","Hispanic"
"05/20/2012","Mortgage","Bank of America","Hispanic"
"12/11/2012","Mortgage","Bank of America","Hispanic"
"10/19/2012","Credit card","Wells Fargo","Hispanic"
"01/30/2013","Mortgage","Ocwen","Hispanic"
"03/07/2013","Mortgage","Bank of America","Hispanic"
"03/14/2012","Mortgage","Bank of America","Hispanic"
"09/06/2012","Credit card","Wells Fargo","Hispanic"
"03/04/2013","Bank account or service","Other","Hispanic"
"02/02/2012","Credit card","Discover","Hispanic"
"05/29/2013","Mortgage","Bank of America","Hispanic"
"02/08/2013","Mortgage","Bank of America","Hispanic"
"07/23/2012","Credit card","Bank of America","Hispanic"
"05/29/2013","Mortgage","U.S. Bancorp","Hispanic"
"10/10/2013","Mortgage","Wells Fargo","Hispanic"
"02/14/2013","Mortgage","Fifth Third Bank","Hispanic"
"02/10/2013","Mortgage","Wells Fargo","Hispanic"
"09/04/2013","Mortgage","Wells Fargo","Hispanic"
"08/23/2012","Consumer loan","Other","Hispanic"
"03/21/2012","Credit card","Wells Fargo","Hispanic"
"07/06/2012","Mortgage","Ocwen","Hispanic"
"03/25/2012","Credit card","Wells Fargo","Hispanic"
"04/30/2013","Mortgage","Citibank","Hispanic"
"02/24/2013","Credit reporting","Experian","Hispanic"
"08/27/2013","Mortgage","Bank of America","Hispanic"
"07/18/2013","Bank account or service","Wells Fargo","Hispanic"
"06/18/2013","Mortgage","Citibank","Hispanic"
"03/11/2013","Credit card","Discover","Hispanic"
"07/18/2012","Mortgage","Ocwen","Hispanic"
"10/22/2013","Mortgage","JPMorgan Chase","Hispanic"
"08/14/2012","Mortgage","Other","Hispanic"
"01/17/2012","Mortgage","Ocwen","Hispanic"
"08/14/2012","Mortgage","Wells Fargo","Hispanic"
"02/23/2012","Credit card","Wells Fargo","Hispanic"
"11/14/2012","Mortgage","Bank of America","Hispanic"
"05/14/2012","Credit card","Capital One","Hispanic"
"10/04/2012","Bank account or service","U.S. Bancorp","Hispanic"
"06/28/2012","Mortgage","OneWest Bank","Hispanic"
"02/14/2013","Mortgage","Ocwen","Hispanic"
"07/27/2012","Mortgage","Other","Hispanic"
"10/09/2012","Mortgage","Ocwen","Hispanic"
"08/06/2013","Mortgage","PNC Bank","Hispanic"
"03/11/2013","Mortgage","Other","Hispanic"
"08/29/2012","Mortgage","Ocwen","Hispanic"
"07/26/2013","Credit card","Wells Fargo","Hispanic"
"05/16/2013","Mortgage","JPMorgan Chase","Hispanic"
"09/19/2013","Mortgage","Nationstar Mortgage","Hispanic"
"07/09/2012","Mortgage","Nationstar Mortgage","Hispanic"
"10/12/2012","Consumer loan","Wells Fargo","Hispanic"
"02/20/2013","Mortgage","Bank of America","Hispanic"
"08/07/2013","Mortgage","JPMorgan Chase","Hispanic"
"05/20/2013","Mortgage","Ocwen","Hispanic"
"02/01/2012","Mortgage","Bank of America","Hispanic"
"07/15/2013","Mortgage","JPMorgan Chase","Hispanic"
"04/05/2012","Mortgage","Bank of America","Hispanic"
"01/09/2013","Mortgage","Ocwen","Hispanic"
"10/04/2013","Mortgage","Green Tree Servicing, LLC","Hispanic"
"10/21/2013","Bank account or service","U.S. Bancorp","Hispanic"
"09/08/2013","Student loan","Sallie Mae","Mixed"
"07/24/2013","Mortgage","Select Portfolio Servicing, Inc","Mixed"
"05/18/2012","Credit card","Citibank","Mixed"
"06/06/2013","Mortgage","Other","Mixed"
"07/20/2012","Mortgage","Wells Fargo","Mixed"
"12/24/2012","Credit card","Wells Fargo","Mixed"
"05/10/2012","Mortgage","Bank of America","Mixed"
"02/27/2013","Bank account or service","Bank of America","Mixed"
"05/08/2012","Bank account or service","JPMorgan Chase","Mixed"
"03/06/2012","Bank account or service","Other","Mixed"
"06/26/2012","Mortgage","JPMorgan Chase","Mixed"
"06/05/2012","Bank account or service","Bank of America","Mixed"
"12/05/2012","Credit card","Bank of America","Mixed"
"10/08/2013","Mortgage","Other","Mixed"
"11/13/2012","Bank account or service","Other","Mixed"
"02/08/2013","Bank account or service","Wells Fargo","Mixed"
"01/24/2012","Mortgage","Bank of America","Mixed"
"06/04/2012","Mortgage","Green Tree Servicing, LLC","Asian"
"12/14/2011","Mortgage","Bank of America","Asian"
"11/04/2012","Credit reporting","Experian","Asian"
"04/09/2013","Mortgage","Bank of America","Asian"
"11/09/2012","Mortgage","Citibank","Asian"
"08/29/2012","Bank account or service","Other","Asian"
"12/10/2011","Credit card","Citibank","Asian"
"04/25/2013","Mortgage","Ocwen","Asian"
"04/25/2013","Mortgage","Bank of America","Asian"
"01/17/2013","Credit reporting","Experian","Asian"
"05/09/2013","Credit reporting","Equifax","Asian"
"10/01/2013","Mortgage","Bank of America","Asian"
"02/13/2013","Mortgage","Ocwen","Asian"
"08/24/2012","Bank account or service","Other","Asian"
"07/10/2013","Bank account or service","Bank of America","Asian"
"03/12/2012","Bank account or service","Bank of America","Asian"
"07/05/2013","Mortgage","Other","Asian"
"01/21/2013","Mortgage","Bank of America","Asian"
